Id,uid,company_name,company_description,company_industry,company_address,company_website
1642,http://www.fccsingapore.com/membership/directory/account/1642,101CAFFE' SINGAPORE PTE. LTD.,"
101CAFFE’ is a journey in every sip.

101CAFFE’ was thus launched in 2011. It is today a...
",ABC,"
                    6 Kensington Park Drive 
#01-08
                    SINGAPORE 
                    557322
",http://www.101caffe.sg
1628,http://www.fccsingapore.com/membership/directory/account/1628,3EIGHTY PARTNERS,"
3eighty Partners joins forces with Aesara Partners a leading European executive coaching firm :...
",ABC,"
                    28C Stanley Street
                    SINGAPORE 
                    068737
",http://www.aesarapartners.com/
1135,http://www.fccsingapore.com/membership/directory/account/1135,A-MUNITION PTE LTD,"
In March 2014, Christophe decided to establish a new company focusing on strategic partnership for...
",ABC,"
                    165 Tanjong Pagar Road
#01-00
                    SINGAPORE 
                    088539
",http://www.bar-roque.com.sg
1113,http://www.fccsingapore.com/membership/directory/account/1113,A.T. KEARNEY,"
A.T. Kearney is a leading global management consulting firm with offices in more than 40 countries....
",ABC,"
                    One Temasek Avenue 
#32-01 Millenia Tower
                    SINGAPORE 
                    039192
",
1162,http://www.fccsingapore.com/membership/directory/account/1162,A4 SPORTS PTE LTD,"
A4 Sports offers excellent and adapted courses for each level, beginner to confirmed, in the...
",ABC,"
                    16 Raffles Quay
#38-03 Hong leong building
                    SINGAPORE 
                    048581
",http://www.a4sports.com.sg
1042,http://www.fccsingapore.com/membership/directory/account/1042,ABACARE SINGAPORE PTE LTD,"
Abacare is a leading international healthcare insurance broking and advisory company.

We manage...
",ABC,"
                    78 South Bridge Road 
#05-01 TKH Building  
                    SINGAPORE 
                    058708
",http://www.abacare.com
1304,http://www.fccsingapore.com/membership/directory/account/1304,ABC ARBITRAGE ASSET MANAGEMENT ASIA PTE. LTD.,"
Services for collective investment schemes or investment companies...
",ABC,"
                    One Raffles Quay North Tower 
#25-00
                    SINGAPORE 
                    048583
",http://www.abc-arbitrage.com
668,http://www.fccsingapore.com/membership/directory/account/668,ABERDEEN STANDARD INVESTMENTS,"
Asset management in equities, fixed income, property and alternative...
",ABC,"
                    21 Church Street
#01-01 Capital Square  
                    SINGAPORE 
                    049480
",http://www.aberdeen-asset.com
1305,http://www.fccsingapore.com/membership/directory/account/1305,ACCENTURE STRATEGY,"
Accenture Strategy operates at the intersection of business and technology. We bring together our...
",ABC,"
                    250 North Bridge Road
#35-00 Raffles City Tower
                    SINGAPORE 
                    179101
",https://www.accenture.com/sg-en/strategy-index
10,http://www.fccsingapore.com/membership/directory/account/10,ACCORHOTELS ASIA PACIFIC,"
AccorHotels is a Group united by a shared passion for hospitality and driven by a shared promise to...
",ABC,"
                    AccorHotels Asia Pacific1 Wallich Street
#17-01 Guoco Tower
                    SINGAPORE 
                    078881
",http://www.accorhotels.com
1103,http://www.fccsingapore.com/membership/directory/account/1103,ACCURACY SINGAPORE CORPORATE ADVISORY PTE LTD,"
Accuracy is a wholly independent international consulting firm providing advice to company...
",ABC,"
                    1 Raffles Place 
#26-01 One Raffles Place
                    SINGAPORE 
                    048616
",http://www.accuracy.com
1683,http://www.fccsingapore.com/membership/directory/account/1683,ACTAVIA,"
Actavia is a consulting company focused on life sciences and FMCG companies in Asia. Our main...
",ABC,"
                    541 Orchard Road 
#09-01 Liat Towers
                    SINGAPORE 
                    238881
",http://www.actaviaconsulting.com
1331,http://www.fccsingapore.com/membership/directory/account/1331,ACTILITY SINGAPORE  PTE LTD,"
Actility combines a world-leading Internet of Things (IoT) connectivity management platform for low...
",ABC,"
                    6 raffles Quay, 
#16-01
                    SINGAPORE 
                    048580
",http://www.actility.com
1032,http://www.fccsingapore.com/membership/directory/account/1032,ACTIS CAPITAL PARTNERS PTE LTD,"
Actis is a leading investor in growth markets across Africa, Asia and Latin America. We have raised...
",ABC,"
                    17 Kay Siang Road  
                    SINGAPORE 
                    248933
",http://www.act.is/content/home
12,http://www.fccsingapore.com/membership/directory/account/12,ACTIVEO SINGAPORE PTE LTD,"
Activeo is a recognised leader in contact centre and customer experience technologies....
",ABC,"
                    1 Coleman Street 
#06-03 The Adelphi
                    SINGAPORE 
                    179803
",http://www.activeo.com
1414,http://www.fccsingapore.com/membership/directory/account/1414,AD CONCEPT INTERIOR DESIGN PTE LTD,"
AD Concept is an interior design company based in Singapore specialising in residential and...
",ABC,"
                    40 Greenleaf Drive
                    SINGAPORE 
                    279546
",http://www.adconcept.com.sg
