Id,Name,Country,Employees,Ownership,Revenue,Industry
1,Bean and Sons,Thailand,,Private,928502,Construction
2,"Roberts, Smith and Cook",Thailand,2889,Private,,Education
3,Hubbard-Orozco,Malaysia,4373,Public,35471809,Information Technology
4,"Vasquez, Stokes and Cruz",Thailand,4529,Public,61934857,Education
5,"Chavez, Brown and Patterson",Singapore,103,Private,672509,Healthcare
6,Reed LLC,Hongkong,360,Private,713231,Healthcare
7,Patel Group,Hongkong,,Public,815807,Construction
8,Hawkins LLC,Hongkong,9544,Private,,Information Technology
9,Krause-Harris,Malaysia,1112,Public,,Oil & Gas
10,Brown-Perez,Thailand,72,Private,743617,Construction
11,Pace Group,Malaysia,8169,Public,28581159,Information Technology
12,Watson PLC,Hongkong,1323,Private,,Information Technology
13,"Ross, Morgan and Carpenter",Thailand,4453,Public,57098691,Information Technology
14,Hanson-Berry,Singapore,,Private,754902,Information Technology
15,Thompson-Rodriguez,Singapore,454,Private,861957,Education
16,"Perez, Harrell and Smith",Singapore,,Public,951283,Education
17,Haley Group,Malaysia,476,Private,947040,Oil & Gas
18,Ross LLC,Hongkong,,Public,724186,Education
19,Jenkins-Taylor,Thailand,3600,Public,,Construction
20,Lynn-Zuniga,Malaysia,,Public,111024,Healthcare
21,"Parker, Harris and Collins",Thailand,,Public,464309,Healthcare
22,"Baker, Casey and Chambers",Singapore,9420,Public,11767677,Construction
23,Lopez and Sons,Singapore,,Private,731009,Financials
24,"Rogers, Chavez and Hill",Singapore,4116,Public,93779818,Education
25,Foster Group,Thailand,,Private,138067,Education
26,Hopkins LLC,Singapore,6389,Public,,Information Technology
27,Melton PLC,Malaysia,446,Private,467059,Healthcare
28,Huynh and Sons,Hongkong,3730,Public,,Construction
29,Lewis Group,Malaysia,,Public,863147,Education
30,Gonzalez Group,Thailand,9434,Public,,Oil & Gas
31,"Gomez, Scott and Mack",Hongkong,2042,Private,,Education
32,Hall LLC,Malaysia,,Private,305157,Financials
33,"Cannon, Rice and Chapman",Malaysia,,Public,235404,Construction
34,Moss PLC,Hongkong,9615,Public,25587094,Healthcare
35,Dickson-Moore,Thailand,7164,Public,22472852,Information Technology
36,Yates-Williams,Malaysia,6008,Public,60026721,Healthcare
37,Sanders LLC,Malaysia,8159,Private,,Financials
38,"Hernandez, Smith and Humphrey",Hongkong,,Public,761631,Healthcare
39,Ruiz and Sons,Hongkong,9225,Public,98477437,Oil & Gas
40,Roman-Cox,Thailand,9286,Public,,Construction
41,Thompson-Butler,Hongkong,2703,Public,60807547,Healthcare
42,Morales Inc,Thailand,385,Private,300140,Construction
43,Williams-Beard,Malaysia,447,Private,838174,Healthcare
44,Perez-Vaughn,Hongkong,114,Private,205620,Financials
45,Crawford-Webb,Thailand,9554,Public,13728668,Healthcare
46,"Mejia, Yates and Anderson",Malaysia,2553,Private,,Financials
47,Jackson and Sons,Hongkong,3500,Private,,Financials
48,"Carroll, Gomez and Rivera",Thailand,2628,Public,,Education
49,Cisneros-Robinson,Hongkong,208,Private,606044,Healthcare
50,Watson and Sons,Malaysia,5375,Private,,Construction
51,Heath Ltd,Singapore,1322,Public,55528386,Information Technology
52,Bailey and Sons,Malaysia,227,Private,469015,Financials
53,White LLC,Malaysia,9353,Public,,Oil & Gas
54,Delgado PLC,Malaysia,,Private,223859,Oil & Gas
55,"Keller, Foster and Robertson",Hongkong,5969,Private,,Healthcare
56,Stanley-Stanton,Malaysia,7698,Public,,Information Technology
57,Taylor LLC,Thailand,,Public,747857,Education
58,"Leon, Ayala and Williams",Hongkong,,Private,309950,Education
59,Coleman-Lawrence,Thailand,420,Private,428545,Education
60,Cruz Group,Hongkong,,Private,152849,Construction
61,Wright Group,Singapore,,Public,244546,Healthcare
62,"King, Collins and Mann",Malaysia,5809,Public,,Education
63,Haynes Ltd,Hongkong,1930,Private,,Oil & Gas
64,Young-Morris,Hongkong,,Public,460955,Construction
65,Flynn and Sons,Hongkong,,Private,802272,Oil & Gas
66,Alvarado and Sons,Malaysia,,Public,134708,Education
67,Lewis Ltd,Singapore,377,Private,369780,Construction
68,Baird-Garcia,Hongkong,2386,Public,40429946,Healthcare
69,"Foley, Olsen and Davidson",Thailand,1596,Public,,Oil & Gas
70,Powell-Hines,Hongkong,,Public,794363,Construction
71,Carter and Sons,Hongkong,184,Private,486001,Financials
72,Lopez-Harris,Thailand,396,Private,636756,Construction
73,Lowery and Sons,Singapore,311,Private,267175,Construction
74,"Wagner, Martin and Miller",Malaysia,3098,Public,41510551,Information Technology
75,Jordan LLC,Thailand,58,Private,990610,Education
76,Arnold Group,Malaysia,4037,Public,59411038,Education
77,Diaz-Robertson,Malaysia,4027,Private,,Information Technology
78,Marquez-Hall,Hongkong,2234,Public,72912756,Healthcare
79,Chavez Inc,Hongkong,6696,Private,,Oil & Gas
80,Garcia-Perez,Hongkong,7217,Public,,Oil & Gas
81,"Wells, Bryant and Ortega",Singapore,8401,Private,,Healthcare
82,Brooks Group,Malaysia,384,Private,355110,Financials
83,"Nichols, Mccann and White",Hongkong,2844,Public,,Information Technology
84,Martinez LLC,Malaysia,196,Private,505227,Healthcare
85,Hanson Inc,Malaysia,435,Private,952027,Oil & Gas
86,Lloyd Inc,Singapore,248,Private,311361,Oil & Gas
87,Clark-Williams,Malaysia,6858,Public,89219768,Construction
88,"Wilson, Hall and Blake",Singapore,347,Private,650071,Financials
89,Parks-Guerrero,Malaysia,,Private,551902,Financials
90,Boyd-Jones,Singapore,4346,Public,66441874,Oil & Gas
91,Powell-Figueroa,Malaysia,5231,Public,47931667,Information Technology
92,Boyd Inc,Malaysia,3682,Public,84568104,Healthcare
93,Perez-Garcia,Thailand,357,Private,373564,Construction
94,"Campbell, Clayton and Norman",Hongkong,7137,Public,62395499,Information Technology
95,Gutierrez-Ball,Singapore,,Private,898194,Education
96,"Mcgee, Terrell and Atkins",Singapore,,Private,754957,Oil & Gas
97,"Ramos, Sharp and Johnson",Singapore,146,Private,346142,Education
98,Henry-Henderson,Thailand,326,Private,341405,Financials
99,"Bruce, Wong and Bush",Malaysia,5842,Private,,Financials
100,Tanner-Clark,Hongkong,6780,Public,,Education
101,Rogers-Logan,Singapore,655,Private,,Education
102,Jones-Rodriguez,Hongkong,3663,Private,,Oil & Gas
103,"Perry, Davis and Nelson",Singapore,202,Private,470441,Construction
104,Fernandez Group,Malaysia,360,Private,284907,Information Technology
105,Mccarthy-Brady,Thailand,3384,Public,85257091,Construction
106,Hanna Inc,Thailand,257,Private,387382,Construction
107,Barton-Harris,Thailand,452,Private,123909,Healthcare
108,"Castaneda, Trevino and Williams",Malaysia,229,Private,566637,Healthcare
109,"Alexander, Schroeder and Hurst",Singapore,7154,Public,,Oil & Gas
110,"Dillon, Gibson and Bonilla",Hongkong,4518,Public,,Financials
111,"Douglas, Cooke and Allen",Thailand,296,Private,,Education
112,"Smith, Brown and Robinson",Hongkong,,Public,324480,Oil & Gas
113,Berry-Martin,Malaysia,497,Public,,Healthcare
114,Wallace-Butler,Hongkong,6862,Public,,Oil & Gas
115,"Bowers, Mccullough and Thomas",Malaysia,7112,Public,94588784,Financials
116,"Lowery, Cunningham and French",Singapore,5450,Public,99190321,Information Technology
117,"Roberts, Garza and Taylor",Singapore,9710,Private,,Education
118,Grant-Carr,Hongkong,,Public,879103,Oil & Gas
119,"Williams, Fox and Gonzales",Singapore,441,Private,436191,Healthcare
120,Mcgrath Group,Hongkong,9698,Private,,Information Technology
121,"Sullivan, Johnson and Sullivan",Malaysia,,Private,875189,Oil & Gas
122,"Cox, Holland and Wolf",Singapore,,Private,587158,Construction
123,Robinson-Chang,Hongkong,166,Private,262475,Information Technology
124,Roberts-Perez,Singapore,,Private,928789,Healthcare
125,Hurst-Keller,Malaysia,4050,Private,,Oil & Gas
126,Castro PLC,Singapore,278,Private,773979,Construction
127,"Lynch, Barron and Mcintyre",Thailand,468,Private,813383,Oil & Gas
128,Mccoy Inc,Thailand,9770,Public,36321653,Financials
129,"Rodriguez, West and Rivera",Malaysia,318,Private,226606,Financials
130,Cox-Parks,Singapore,338,Private,549676,Information Technology
131,Lloyd-Harris,Singapore,8228,Private,,Information Technology
132,Silva-Hopkins,Hongkong,3163,Public,63689479,Oil & Gas
133,Hammond LLC,Thailand,5757,Public,90686292,Oil & Gas
134,Summers-Scott,Hongkong,1549,Private,,Construction
135,Hernandez-Larsen,Hongkong,5836,Private,,Construction
136,Thompson-Andrade,Malaysia,9645,Public,,Education
137,"Heath, Martinez and George",Singapore,173,Private,703784,Healthcare
138,"Drake, Christensen and Powell",Malaysia,,Private,449910,Financials
139,"Torres, Ruiz and Williams",Singapore,2365,Private,,Information Technology
140,"Knight, Jefferson and Palmer",Hongkong,143,Private,904665,Education
141,Parker and Sons,Hongkong,1754,Public,38089801,Construction
142,Dickerson Ltd,Malaysia,5932,Public,55100767,Oil & Gas
143,"Jackson, Archer and Matthews",Hongkong,,Public,478344,Construction
144,"Willis, Martinez and Perez",Hongkong,,Private,592200,Oil & Gas
145,Bryant LLC,Malaysia,463,Private,561310,Information Technology
146,"Hernandez, Gutierrez and Stevens",Thailand,316,Private,161307,Financials
147,Ramirez-Johnson,Thailand,,Private,452938,Financials
148,Adams-Archer,Singapore,2410,Public,13224943,Education
149,Rodgers-Evans,Malaysia,,Private,741598,Information Technology
150,Anthony-Dennis,Hongkong,386,Private,724529,Oil & Gas
151,"Bailey, Walker and White",Hongkong,1596,Public,83293492,Education
152,Garza-Mills,Hongkong,,Private,962355,Healthcare
153,"Moore, Morris and Olson",Thailand,131,Private,999803,Construction
154,Russo-Byrd,Thailand,4328,Public,64764407,Education
155,Hernandez-Tapia,Singapore,7232,Public,,Education
156,Francis-Sanders,Hongkong,2768,Private,,Oil & Gas
157,"Sandoval, Flores and Thomas",Hongkong,,Public,425539,Financials
158,"Anderson, Scott and Rivera",Thailand,8994,Public,10212987,Education
159,Flores and Sons,Thailand,1613,Public,,Healthcare
160,"Alvarez, Harper and Perry",Singapore,389,Private,659518,Construction
161,"Turner, Miller and Miller",Thailand,,Private,504817,Financials
162,Hogan-Stone,Singapore,7027,Public,71878235,Financials
163,Williams Ltd,Thailand,5641,Public,77555534,Information Technology
164,"Richards, Lewis and Ward",Singapore,1296,Public,80694649,Education
165,Phillips-Perez,Singapore,,Public,844846,Education
166,Huerta PLC,Thailand,183,Private,718180,Information Technology
167,Schmidt-Vasquez,Singapore,238,Private,427409,Information Technology
168,"Frank, Williams and Bennett",Hongkong,,Public,132443,Oil & Gas
169,"Castro, Roberts and Hawkins",Hongkong,375,Private,872737,Construction
170,"Morgan, Delgado and Foster",Hongkong,8637,Public,98321395,Education
171,Cole and Sons,Singapore,102,Private,138649,Construction
172,"Wiggins, Humphrey and Brown",Thailand,3717,Private,,Information Technology
173,Cook PLC,Thailand,5146,Public,37651065,Construction
174,Bright LLC,Malaysia,3578,Public,11286248,Financials
175,Vang Inc,Hongkong,7036,Public,,Oil & Gas
176,Sanchez PLC,Hongkong,,Public,447744,Financials
177,White-Schultz,Thailand,9415,Public,,Education
178,Miller-Graham,Hongkong,1205,Public,,Healthcare
179,Haney Ltd,Malaysia,416,Private,752378,Oil & Gas
180,French-Melton,Malaysia,98,Private,593067,Information Technology
181,"Ward, Shelton and Walker",Hongkong,114,Private,570216,Education
